BETSEY BROWN,NTOZAKE SHANGE,,GENERAL FICTION,12/7/19,,,THEORY OF CULTURE CHANGE - THE METHODOLOGY OF MULTILINEAR EVOLUTION,,,
LEAVING COLD SASSY,OLIVE ANN BURNS,,GENERAL FICTION,10/31/15,11/1/16,,THE ENIGMA OF JAPANESE POWER,,,
THE DISTANCE HOME,ORLY KONIG,,GENERAL FICTION,10/14/17,12/8/18,,ANCIENT SOUTH AMERICA,,,
THE DISTANCE HOME,ORLY KONIG,,GENERAL FICTION,2/23/19,9/14/19,,SEEING ANTHROPOLOGY - CULTURAL ANTHROPOLOGY THROUGH FILM,,,
WHERE WE COME FROM,OSCAR CASARES,,GENERAL FICTION,9/14/19,9/14/19,,RACE HORSE MEN: HOW SLAVERY AND FREEDOM WERE MADE AT THE RACETRACK,,,
THE IMPORTANCE OF BEING EARNEST,OSCAR WILDE,,GENERAL FICTION,10/14/17,8/24/19,,"SPIRITUAL INTERROGATIONS: CULTURE, GENDER, AND COMMUNITY IN EARLY AFRICAN AMERICAN WOMEN'S WRITING",,,
THE PRINCE OF TIDES,PAT CONROY,,GENERAL FICTION,10/31/15,2/13/16,,FORGING A NATION,,,
THE PRINCE OF TIDES,PAT CONROY,,GENERAL FICTION,11/9/19,,,WISDOM SITS IN PLACES,,,
SOUTHERN CROSS,PATRICIA D. CORNWELL,,GENERAL FICTION,10/31/19,,,RETURN OF THE BIRD TRIBES,,,
CIRCLE OF THREE,PATRICIA GAFFNEY,,GENERAL FICTION,4/3/16,,,A BRIEF HISTORY OF EVERYTHING,,,
THE PIGMAN,PAUL ZINDEL,,GENERAL FICTION,10/13/18,8/24/19,,MINIK: THE NEW YORK ESKIMO,,,
THE PIGMAN,PAUL ZINDEL,,GENERAL FICTION,9/15/18,9/15/18,,WOMEN AND MEN IN WORLD CULTURES,,,
THE GIRL ON THE TRAIN,PAULA HAWKINS,,GENERAL FICTION,2/10/18,2/10/18,,THE SQUAW MEN,,,
CHILDREN OF LIBERTY,PAULLINA SIMONS,,GENERAL FICTION,2/1/17,4/22/17,,KILLING NEIGHBORS: WEBS OF VIOLENCE IN RWANDA,,,
TATIANA AND ALEXANDER,PAULLINA SIMONS,,GENERAL FICTION,2/1/17,2/4/17,,RAVENSONG,,,
THE BOLEYN INHERITANCE,PHILIPPA GREGORY,,GENERAL FICTION,12/7/19,12/7/19,,1912: FACTS ABOUT THE TITANIC,,,
THE BORROWFIELDS,PHILLIP LEWIS,,GENERAL FICTION,10/14/17,,,DRUGS: A VERY SHORT INTRODUCTION,,,
THE OTHER QUEEN,PHILLIPPA GREGORY,,GENERAL FICTION,11/9/19,,,PERSONAL ENCOUNTERS: A READER IN CULTURAL ANTHROPOLOGY,,,
THE STORYTELLER,PIERRE JARAWAN,,GENERAL FICTION,9/14/19,11/9/19,,THE INTIMACIES OF FOUR CONTINENTS,,,
LOOK HOW HAPPY I'M MAKING YOU,POLLY ROSENWAIKE,,GENERAL FICTION,2/23/19,8/24/19,,THE WAR OF ALCOHOL,,,
IF YOU'RE READING THIS IT'S TOO LATE,PSEUDONYMOUS BOSCH,,GENERAL FICTION,2/10/18,12/8/18,,THE WAR ON ALCOHOL: PROHIBITION AND THE RISE OF THE AMERICAN STATE,,,
THE NAME OF THIS BOOK IS SECRET,PSEUDONYMOUS BOSCH,,GENERAL FICTION,2/10/18,9/15/18,,DEATH RITUALS OF RURAL GREECE,,,
THIS BOOK IS NOT GOOD FOR YOU,PSEUDONYMOUS BOSCH,,GENERAL FICTION,2/10/18,4/20/19,,THE DEVIL'S HIGHWAY: A TRUE STORY,,,
THE RISK OF US,RACHEL HOWARD,,GENERAL FICTION,4/20/19,,,THE ANCIENT GREEKS,,,
A VISITATION OF SPIRITS,RANDALL KENAN,,GENERAL FICTION,10/31/15,11/1/16,,ON THE BHAGAVAD-GITA,,,
CATHEDRAL,RAYMOND CARVER,,GENERAL FICTION,11/9/16,3/30/19,,GLOBALIZATION: A VERY SHORT INTRODUCTION,,,
WANDERLUST: A HISTORY WALKING,REBECCA SOLNIT,,GENERAL FICTION,2/1/17,2/4/17,,WOMEN IN PREHISTORY,,,
NO SAFE PLACE,RICHARD NORTH PATTERSON,,GENERAL FICTION,11/9/19,,,CAUGHT: THE PRISON STATE AND THE LOCKDOWN OF AMERICAN POLITICS,,,
EMPIRE FALLS,RICHARD RUSSO,,GENERAL FICTION,4/3/16,9/17/16,,THE THRESHOLD OF DEMOCRACY,,,
HERE ARE THE YOUNG MEN,ROB DOYLE,,GENERAL FICTION,12/7/19,,,NOTHING IS TOO LATE: THE HUNT FOR A HOLOCAUST SWINDLER,,,
AFTER ON,ROB REID,,GENERAL FICTION,10/14/17,10/14/17,,GODDESSES IN WORLD MYTHOLOGY: A BIOGRAPHICAL DICTIONARY,,,
AMERICA NOW: SHORT READINGS FROM RECENT PERIODICALS,ROBERT ATWAN,,GENERAL FICTION,3/4/17,4/21/18,,1919: THE YEAR THAT CHANGED AMERICA,,,
KIDNAPPED,ROBERT LOUIS STEVENSON,,GENERAL FICTION,12/11/14,2/21/15,,THOMAS JEFFERSON AND AMERICAN DEMOCRACY,,,
ALL THE KING'S MEN,ROBERT PENN WARREN,,GENERAL FICTION,10/14/17,10/13/18,,MYTHS AND THEIR MEANING,,,
AMULET,ROBERTO BOLANO,,GENERAL FICTION,10/31/15,11/1/16,,THE PORTABLE THOMAS JEFFERSON,,,
DISTANT STAR,ROBERTO BOLANO,,GENERAL FICTION,10/31/15,12/6/15,,INTRODUCTION TO COMPARATIVE GOVERNMENT,,,
THE LIFE BEFORE US,ROMAIN GARY,,GENERAL FICTION,12/2/17,12/2/17,,A PRECIOUS LIQUID,,,
WHOREDOM IN KIMMAGE,ROSEMARY MAHONEY,,GENERAL FICTION,12/7/19,,,THE SOCIOLOGY OF ORGANIZATIONS,,,
THAT KIND OF MOTHER,RUMAAN ALAM,,GENERAL FICTION,9/15/18,12/7/19,,POLITICAL ACTION,,,
TENDER AT THE BONE,RUTH REICHL,,GENERAL FICTION,11/9/16,12/8/18,,THE HISTORY OF THE AMERICAN NEGRO,,,
SHAME,SALMAN RUSHDIE,,GENERAL FICTION,10/31/15,2/13/16,,THE CHILDREN'S WAR,,,
FIRST LOVE AND OTHER STORIES,SAMUEL BECKETT,,GENERAL FICTION,10/31/15,2/13/16,,READINGS IN ANTHROPOLOGY,,,
THE HOUSE ON MANGO STREET,SANDRA CISNEROS,,GENERAL FICTION,10/31/15,2/13/16,,ANTHROPOLOGY,,,
WATER FOR ELEPHANTS,SARA GRUEN,,GENERAL FICTION,4/20/19,,,BOSTON RED SOX: 100 YEARS THE OFFICIAL RETROSPECTIVE,,,
WATER FOR ELEPHANTS,SARA GRUEN,,GENERAL FICTION,4/20/19,4/20/19,,CARVED FLESH CAST SELVES: GENDERED SYMBOLS AND SOCIAL PRACTICES,,,
SILENT CHILD,SARAH A. DENZIL,,GENERAL FICTION,4/20/19,8/24/19,,DIFFERENT SHORE,,,
NAAMAH,SARAH BLAKE,,GENERAL FICTION,4/20/19,,,GENDER AND THE HOUSEHOLD DOMAIN: SOCIAL AND CULTURAL DIMENSIONS,,,
MAGIC FOR LIARS,SARAH GAILEY,,GENERAL FICTION,9/14/19,,,NEW WORLD ENCOUNTERS,,,
MAGIC FOR LIARS,SARAH GAILEY,,GENERAL FICTION,9/14/19,9/14/19,,RADICAL HOPE: LETTERS OF LOVE AND DISSENT IN DANGEROUS TIMES,,,
MAGIC FOR LIARS,SARAH GAILEY,,GENERAL FICTION,9/14/19,9/14/19,,THE BOOK OF AMAZING HISTORY,,,
LIKE A MULE BRINGING ICE CREAM TO THE SUN,SARAH LADIPO MANYIKS,,GENERAL FICTION,9/9/17,2/10/18,,THE CIVIL WAR AT CHARLESTON,,,
NOT EXACTLY THE FINEST KIND,SCOTT HONEY,,GENERAL FICTION,10/13/18,,,THE KING SITE: CONTINUITY AND CONTACT IN SIXTEENTH-CENTURY GEORGIA,,,
"AHAB'S WIFE, OR THE STAR-GAZER",SENA JETER NASLUND,,GENERAL FICTION,4/3/16,9/17/16,,THE NEW NUCLEAR DANGER,,,
THE BOAT PEOPLE,SHARON BALA,,GENERAL FICTION,2/23/19,4/20/19,,THE AMERICAN PEOPLE: CREATING A NATION AND A SOCIETY,,,
ONCE IN LOURDES,SHARON SOLWITZ,,GENERAL FICTION,10/14/17,8/24/19,,THE ENDANGERED BLACK FAMILY: COPING WITH THE UNISEXUALIZATION AND COMING EXTINCTION OF THE BLACK RACE,,,
ONCE IN LOURDES,SHARON SOLWITZ,,GENERAL FICTION,10/14/17,9/14/19,,MAYFLOWER,,,
THE RELUCTANT MATCHMAKER,SHOBHAN BANTWAL,,GENERAL FICTION,12/7/19,,,THE PROMISED LAND: THE GREAT BLACK MIGRATION AND HOW IT CHANGED AMERICA,,,
FATHER'S DAY,SIMON VAN BOOY,,GENERAL FICTION,10/14/17,11/9/19,,THE AIR FORCE MUSEUM,,,
TWILIGHT,STEPHEN MEYER,,GENERAL FICTION,2/1/17,3/4/17,,THE GOOD IMMIGRANT,,,
THE LOCH,STEVE ALTEN,,GENERAL FICTION,12/2/17,9/15/18,,LIFE AGAINST DEATH,,,
THE KNIFE THROWER,STEVEN MILLHAUSER,,GENERAL FICTION,4/21/18,10/13/18,,THE ARISTOCRAT WHO BECAME FRANCE'S MOST DARING ANTI-NAZI COMMANDO,,,
THE NEW MILLENNIUM READER,"STUART HIRSCHBERG, TERRY HIRSCHBERG",,GENERAL FICTION,3/4/17,12/2/17,,THE DYNAMICS OF INEQUALITY,,,
L IS FOR LAWLESS,SUE GRAFTON,,GENERAL FICTION,10/31/19,1/25/20,,NATIVE SOUTH AMERICANS -ETHNOLOGY OF THE LEAST KNOWN CONTINENT,,,
THE SECRET LIFE OF BEES,SUE MONK KIDD,,GENERAL FICTION,12/7/19,,,THE ROOSTER'S EGG: ON THE PERSISTANCE OF PREJUDICE,,,
MAXIMUM CITY: BOMBAY LOST AND FOUND,SUKETU MEHTA,,GENERAL FICTION,10/31/15,4/22/17,,TWO RACES BEYOND THE ALTER,,,
TRUST EXERCISE,SUSAN CHOI,,GENERAL FICTION,9/14/19,,,WORLD HISTORY,,,
THE GOOD GOOD PIG,SY MONTGOMERY,,GENERAL FICTION,2/13/16,12/2/17,,HUNGRY LIGHTNING: NOTES OF A WOMAN ANTHROPOLOGIST IN VENEZUELA,,,
A BEAUTIFUL MIND,SYLIVA NASAR,,GENERAL FICTION,12/7/19,1/25/20,,THE ORGANIZATION OF AMERICAN CULTURE 1700-1900,,,
ONLY HUMAN,SYLVAN NUEVEL,,GENERAL FICTION,9/15/18,12/8/18,,THE BIELSKI BROTHERS,,,
LULU'S CAFE,T. I. LOWE,,GENERAL FICTION,9/14/19,,,"HEALTH, ILLNESS, AND THE SOCIAL BODY",,,
THE WITCHWOOD CROWN: THE LAST KING OF OSTEN ARD,TAD WILLIAMS,,GENERAL FICTION,10/14/17,12/2/17,,LATIN AMERICAN RESEARCH REVIEW,,,
THE TIGER'S WIFE,TEA OBREHT,,GENERAL FICTION,12/2/17,12/2/17,,INCA CIVILIZATION IN CUZCO,,,
THE MINOR OUTSIDER,TED MCDERMOTT,,GENERAL FICTION,9/9/17,4/20/19,,"STOICS, EPICUREANS AND SCEPTICS",,,
THE TALISMAN OF SHANNARA,TERRY BROOKS,,GENERAL FICTION,9/17/16,9/17/16,,SCARAMOUCHE,,,
SISTER CARRIE,THEODORE DREISER,,GENERAL FICTION,10/31/15,,,"TAKING SIDES: CLASHING VIEWS ON CONTROVERSIAL ISSUES IN RACE AND ETHNICITY, 5TH EDITION",,,
JUDE THE OBSCURE,THOMAS HARDY,,GENERAL FICTION,12/7/19,,,THE BIRTH OF TRAGEDY AND OTHER WRITINGS,,,
THE CRYING OF LOT 49,THOMAS PYNCHON,,GENERAL FICTION,10/31/15,2/13/16,,CULTURE AND TRUTH: THE REMAKING OF SOCIAL ANALYSIS,,,
THE CRYING OF LOT 49,THOMAS PYNCHON,,GENERAL FICTION,3/31/17,12/7/19,,CULTURAL ANTHROPOLOGY,,,
LET ME HEAR A RHYME,TIFFANY D. JACKSON,,GENERAL FICTION,4/20/19,4/20/19,,MAKE PRAYERS TO THE RAVEN,,,
THE THINGS THEY CARRIED,TIM O'BRIEN,,GENERAL FICTION,11/9/19,11/9/19,,"ANALYZING MARX: MORALITY, POWER, AND HISTORY",,,
THE THINGS THEY CARRIED,TIM O'BRIEN,,GENERAL FICTION,9/14/19,1/25/20,,BLACK BOY,,,
THE THINGS THEY CARRIED,TIM O'BRIEN,,GENERAL FICTION,9/14/19,12/7/19,,"AN ARMY AT DAWN: THE WAR IN NORTH AFRICA, 1942-1943",,,
UGLY WAYS,TINA MCELROY ANSA,,GENERAL FICTION,10/31/15,4/23/16,,THE WORK OF NATIONS,,,
THE RIGHT STUFF,TOM WOLFE,,GENERAL FICTION,12/7/19,,,CONFRONTING ENVIRONMENTAL RACISM: VOICES FROM THE GRASSROOTS,,,
BELOVED,TONI MORRISON,,GENERAL FICTION,10/31/15,11/7/15,,AMERICA PERSONIFIED: PORTRAITS FROM HISTORY,,,
BELOVED,TONI MORRISON,,GENERAL FICTION,10/31/15,2/4/17,,SARATOGA LOST,,,
BELOVED,TONI MORRISON,,GENERAL FICTION,4/3/16,9/17/16,,THE MARDUDJARA ABORIGINES,,,
SONG OF SOLOMON,TONI MORRISON,,GENERAL FICTION,10/31/19,,,FATHER DIVINE: THE UTOPIAN EVANGELIST OF THE DEPRESSION ERA WHO BECAME AN AMERICAN LEGEND,,,
SULA,TONI MORRISON,,GENERAL FICTION,10/31/19,12/7/19,,GENESIS THE STORY OF APOLLO 8,,,
FIRSTBORN,TOSCA LEE,,GENERAL FICTION,10/14/17,10/13/18,,CIVIC IDEAS,,,
REMARKABLE CREATURES,TRACY CHEVALIER,,GENERAL FICTION,10/13/18,4/20/19,,A SHORT HISTORY OF AFRICA,,,
REMARKABLE CREATURES,TRACY CHEVALIER,,GENERAL FICTION,4/3/16,9/15/18,,THE SHORT HISTORY OF AFRICA,,,
FOUCAULT'S PENDULUM,UMBERTO ECO,,GENERAL FICTION,10/31/19,1/25/20,,SEPTEMBER,,,
FOUCAULT'S PENDULUM,UMBERTO ECO,,GENERAL FICTION,4/20/19,4/20/19,,THE AUSTRALIANS,,,
DARK ANGEL,V. C. ANDREWS,,GENERAL FICTION,4/3/16,9/17/16,,THE NEW AMERICANS: SEVEN FAMILIES JOURNEY TO ANOTHER COUNTRY,,,
DARKEST HOUR,V. C. ANDREWS,,GENERAL FICTION,12/2/17,4/20/19,,MYTHOLOGIES OF THE ANCIENT WORLD,,,
DAWN,V. C. ANDREWS,,GENERAL FICTION,12/2/17,,,"THE ORDER OF GENOCIDE- RACE, POWER AND WAR IN RWANDA",,,
GARDEN OF SHADOWS,V. C. ANDREWS,,GENERAL FICTION,12/2/17,4/20/19,,GOING NATIVE,,,
HIDDEN JEWEL,V. C. ANDREWS,,GENERAL FICTION,12/2/17,9/14/19,,THE CIVIL WAR: A NARRATIVE,,,
HIDDEN JEWEL,V. C. ANDREWS,,GENERAL FICTION,4/3/16,10/22/16,,PUSHING THE LIMITS,,,
IF THERE BE THORNS,V. C. ANDREWS,,GENERAL FICTION,12/2/17,2/13/19,,SWEETNESS AND POWER: THE PLACE OF SUGAR IN MODERN HISTORY,,,
LIGHTING STRIKES,V. C. ANDREWS,,GENERAL FICTION,12/2/17,12/8/18,,A GUIDE TO PSYCHOANALYSIS,,,
PEARL IN MIST,V. C. ANDREWS,,GENERAL FICTION,12/2/17,1/25/20,,WHAT TRIBES CAN DO,,,
RUBY,V. C. ANDREWS,,GENERAL FICTION,12/2/17,8/24/19,,HEN'S TEETH AND HORSE'S TOES: FURTHER REFLECTIONS IN NATURAL HISTORY,,,
RUBY,V. C. ANDREWS,,GENERAL FICTION,4/3/16,2/4/17,,REFLECTIONS OF AN AFFIRMATIVE ACTION BABY,,,
SECRETS OF THE MORNING,V. C. ANDREWS,,GENERAL FICTION,12/2/17,12/8/18,,SENSES OF PLACE,,,
SEEDS OF YESTURDAY,V. C. ANDREWS,,GENERAL FICTION,12/2/17,4/20/19,,NATIVE AMERICANS OF THE NORTHEAST,,,
TARNISHED GOLD,V. C. ANDREWS,,GENERAL FICTION,12/2/17,,,"ONE WORLD, MANY CULTURES",,,
THE END OF THE RAINBOW,V. C. ANDREWS,,GENERAL FICTION,12/2/17,2/13/19,,THE POLITICS OF WOMEN'S HEALTH -EXPLORING AGENCY AND AUTONOMY,,,
GATHERING GROUND,VARIOUS,,GENERAL FICTION,10/31/15,4/22/17,,AMERICANS INTERPRET THEIR CIVIL WAR,,,
IMAGINING AMERICA: STORIES FROM THE PROMISED LAND,VARIOUS,"WESLEY BROWN, AMY LING",GENERAL FICTION,4/3/16,2/4/17,,AMERICAN POLITICS IN THE MEDIA AGE,,,
MICRO FICTION,VARIOUS,JEROME STERN,GENERAL FICTION,4/3/16,3/4/17,,TO SEE OURSELVES: ANTHROPOLOGY AND MODERN SOCIAL ISSUES,,,
SLIGHTLY FOXED,VARIOUS,,GENERAL FICTION,2/1/17,10/13/18,,ARISTOTLE IN OUTLINE,,,
SLIGHTLY FOXED,VARIOUS,,GENERAL FICTION,2/1/17,3/4/17,,CONFEDERATES IN THE ATTIC,,,
EVERYTHING FLOWS,VASILY GROSSMAN,,GENERAL FICTION,4/3/16,9/17/16,,GRADE INFLATION: A CRISIS IN COLLEGE EDUCATION,,,
GENERATIONS OF WINTER,VASSILY AKSYONOV,,GENERAL FICTION,10/31/15,8/24/19,,"WATER WARS: PRIVITIZATION, POLLUTION, AND PROFIT",,,
SACRED GAMES,VIKRAM CHANDRA,,GENERAL FICTION,10/31/15,2/13/16,,ART HISTORY,,,
SACRED GAMES,VIKRAM CHANDRA,,GENERAL FICTION,2/13/16,2/13/16,,JOURNAL OF LATIN AMERICAN CULTURAL STUDIES,,,
MAKE LEMONADE,VIRGINIA EUWER WOLFF,,GENERAL FICTION,10/31/15,2/10/18,,LIFE MAGAZINE,,,
THE BEHAVIOR OF LOVE,VIRGINIA REEVES,,GENERAL FICTION,9/14/19,,,SPIDER WOMAN'S GRANDDAUGHTERS,,,
THE EMIGRANTS,W. G. SEBALD,,GENERAL FICTION,10/31/15,2/13/16,,SULFUR: THE VANISHING NAVEL OF THE WORLD: EIGHT PHOTOGRAPHERS FROM THE CUZCO REGION,,,
"GODS, HEROES AND MEN OF ANCIENT GREECE",W. H. D. ROUSE,,GENERAL FICTION,12/7/19,1/25/20,,TREASURES OF TUTANKHAMUN,,,
CROSSING TO SAFETY,WALLACE STEGNER,,GENERAL FICTION,10/31/15,2/13/16,,MAN'S SEARCH FOR MEANING,,,
OUTCASTS UNITED,WARREN ST. JOHN,,GENERAL FICTION,12/7/19,1/25/20,,THE SOULS OF BLACK FOLKS UNABRIDGED,,,
GOD'S DOG: CONVERSATIONS WITH COYOTE,WEBSTER KITCHELL,,GENERAL FICTION,3/31/17,9/15/18,,TRADITIONAL ABORIGINAL SOCIETY,,,
TALON OF GOD,"WESLEY SNIPES, RAY NORMAN",,GENERAL FICTION,10/14/17,12/2/17,,PUBLIC OPINION,,,
SWEET CARESS,WILLIAM BOYD,,GENERAL FICTION,10/14/17,1/25/20,,DAY OF INFAMY,,,
THE DEVIL AND DAVE CHAPPELLE & OTHER ESSAYS,WILLIAM JELANI COBB,,GENERAL FICTION,4/3/16,10/14/17,,THIS LAND WAS THEIRS: A STUDY OF NATIVE AMERICANS,,,
WOLVES OF THE DAWN,WILLIAM SARABANDE,,GENERAL FICTION,12/2/17,4/20/19,,CORPERATION AND THE INDIAN,,,
LIFE OF PI,YANN MARTEL,,GENERAL FICTION,2/1/17,2/4/17,,THE HARDER WE RUN: BLACK WORKERS SINCE THE CIVIL WAR,,,
LIFE OF PI,YANN MARTEL,,GENERAL FICTION,4/21/18,4/21/18,,THE BLACK CHURCH IN THE US,,,
LIFE OF PI,YANN MARTEL,,GENERAL FICTION,4/3/16,4/23/16,,THE CONFESSIONS OF NAT TURNER,,,
LIFE OF PI,YANN MARTEL,,GENERAL FICTION,4/3/16,4/23/16,,AN OUTLINE OF A THEORY,,,
LIFE OF PI,YANN MARTEL,,GENERAL FICTION,9/19/15,9/19/15,,OUR WOMEN ON THE GROUND,,,
THE SAFFRON KITCHEN,YASMIN CROWTHER,,GENERAL FICTION,4/3/16,2/4/17,,POLITICAL POWER: USA/USSR,,,
FIFTH BORN,ZELDA LOCKHART,,GENERAL FICTION,10/31/15,4/22/17,,RED FLOWER OF CHINA: AN AUTOBIOGRAPHY,,,
NANA,ZOLA,,GENERAL FICTION,2/4/17,2/4/17,,WHAT TO LISTEN FOR IN MUSIC,,,
AN INCONVENIENT TRUTH,AL GORE,,GENERAL NONFICTION,11/9/19,1/25/20,,THE NEW RULES OF WORK: A MODERN PLAYBOOK FOR NAVIGATING YOUR CAREER,,,
NECK DEEP AND OTHER PREDICAMENTS,ANDER MONSON,,GENERAL NONFICTION,2/9/19,,,101 BEST FAMILY CARD GAMES,,,
LAST DANCE LAST CHANCE AND OTHER TRUE CASES,ANN RULE,,GENERAL NONFICTION,4/20/19,4/20/19,,FIRST BOOK OF BRIDGE,,,
LYING IN WAIT AND OTHER TRUE CASES,ANN RULE,,GENERAL NONFICTION,4/20/19,4/20/19,,THE COMPLETE IDIOT'S GUIDE TO CHOOSING A PET,,,
DALLAS: THE COMPLETE STORY OF THE WORLD'S FAVORITE PRIME-TIME SOAP,BARBARA A. CURRAN,,GENERAL NONFICTION,4/20/19,,,BASIC LEGAL RESEARCH,,,
"HEROES, GODS, AND MONSTERS OF THE GREEK MYTHS",BERNARD EVSLIN,,GENERAL NONFICTION,10/31/19,11/9/19,,50 NIFTY ORIGAMI CRAFTS,,,
"HEROES, GODS, AND MONSTERS OF THE GREEK MYTHS",BERNARD EVSLIN,,GENERAL NONFICTION,2/10/18,9/15/18,,FIFTY NIFTY ORIGAMI CRAFTS,,,
"HEROES, GODS, AND MONSTERS OF THE GREEK MYTHS",BERNARD EVSLIN,,GENERAL NONFICTION,2/23/19,4/20/19,,KEEP GOING: 10 WAYS TO STAY CREATIVE IN GOOD TIMES AND BAD,,,
MY CONEY ISLAND BABY,BILLY O'CALLAGHAN,,GENERAL NONFICTION,9/14/19,9/14/19,,SHOW YOUR WORK,,,
TO OUR CHILDREN'S CHILDREN: PRESERVING FAMILY HISTORY,BOB GREENE,,GENERAL NONFICTION,9/19/15,11/1/16,,STEAL LIKE AN ARTIST: 10 THINGS NOBODY TOLD YOU ABOUT BEING CREATIVE,,,
THE LONG SUMMER: HOW CLIMATE CHANGED CIVILIZATION,BRIAN FAGAN,,GENERAL NONFICTION,9/15/18,9/15/18,,COMPLETE BOOK OF BATHROOM DESIGN,,,
THE FABULOUS FLYING MRS. MILLER,CAROL BAXTER,,GENERAL NONFICTION,9/14/19,,,MOTHERING WITHOUT A COMPASS,,,
HOW DO THEY DO THAT?,CAROLINE SUTTON,,GENERAL NONFICTION,10/31/19,11/9/19,,DRAWING ON THE RIGHT SIDE OF THE BRAIN,,,
ON THE ORIGIN OF SPECIES,CHARLES DARWIN,,GENERAL NONFICTION,11/9/19,11/9/19,,THE NATIONAL TEAM,,,
SHADOW OF THE SILK ROAD,COLIN THUBRON,,GENERAL NONFICTION,12/7/19,,,MAMATOTO: A CELEBRATION OF BIRTH,,,
THE COLOSSUS OF NEW YORK,COLSON WHITEHEAD,,GENERAL NONFICTION,4/21/18,1/25/20,,ARTIST'S JOURNAL WORKSHOP,,,
YOU'RE MAKING ME HATE YOU,COREY TAYLOR,,GENERAL NONFICTION,12/7/19,,,TRAINING DOGS,,,
BURDEN,COURTNEY HARGRAVE,,GENERAL NONFICTION,2/23/19,4/20/19,,"PLAYING WITH IMAGE TRANSFERS: EXCITING CREATIVE IMAGERY FOR USE IN ART, MIXED MEDIA, AND DESIGN",,,
PEDDLERS AND POST TRADERS: THE ARMY SUTLER ON THE FRONTIER,DAVID M. DELO,,GENERAL NONFICTION,10/31/19,1/25/20,,THE WELLSPRINGS OF MUSIC,,,
BURY MY HEART AT WOUNDED KNEE,DEE BROWN,,GENERAL NONFICTION,4/20/19,4/20/19,,THE TEACHER OF WATER COLOR PAINTING,,,
WHAT ANIMALS CAN TEACH US ABOUT SPIRITUALITY,DIANA L. GUERRERO,,GENERAL NONFICTION,10/31/19,12/7/19,,RECREATION AND LEISURE IN MODERN SOCIETY,,,
OUR WILDLIFE LEGACY,DURWARD L. ALLEN,,GENERAL NONFICTION,2/23/19,8/24/19,,IMAGE TRANSFER WORKSHOP MIXED-MEDIA TECHNIQUES FOR SUCCESSFUL TRANSFER,,,
WARRIORS,ED NIELSEN,,GENERAL NONFICTION,10/31/19,12/7/19,,SURFACE TREATMENT WORKSHOP: EXPLORE 45 MIXED-MEDIA TECHNIQUES,,,
WORLD OF DIFFERENCES: INEQUALITY IN THE AGING EXPERIENCE,ELANOR PALO STOLLER,,GENERAL NONFICTION,11/9/19,11/9/19,,THE AFRICANS,,,
DEATH: THE FINAL STAGE OF GROWTH,ELISABETH KUBLER-ROSS,,GENERAL NONFICTION,12/7/19,1/25/20,,TRIUMPH FROM TRAGEDY (PHOTOGRAPHY),,,
DEATH: THE FINAL STAGE OF GROWTH,ELISABETH KUBLER-ROSS,,GENERAL NONFICTION,3/31/17,9/14/19,,STAND BY ME,,,
THE DOLL FACTORY,ELIZABETH MACNEAL,,GENERAL NONFICTION,9/14/19,,,DISTINCTLY DYLUSIONAL: A GUIDE TO ART JOURNALING,,,
THE DOLL FACTORY,ELIZABETH MACNEAL,,GENERAL NONFICTION,9/14/19,9/14/19,,THE MEDICINE WHEEL GARDEN,,,
THE SOCIAL LIVES OF DOGS,ELIZABETH MARSHALL THOMAS,,GENERAL NONFICTION,10/31/19,1/25/20,,AMERICAN ARTISTS ON ART,,,
EATING THE SUN: SMALL MUSINGS ON A VAST UNIVERSE,ELLA FRANCES SANDERS,,GENERAL NONFICTION,4/20/19,4/20/19,,THE BETTER WORLD SHOPPING GUIDE,,,
WILD ANIMALS I HAVE KNOWN,ERNEST THOMPSON SETON,,GENERAL NONFICTION,2/9/19,3/30/19,,JOURNAL FODDER 365 DAILY DOSES OF INSPIRATION,,,
THE 20'S,FREDERICK J. HOFFMAN,,GENERAL NONFICTION,2/23/19,3/30/19,,THE JOURNAL JUNKIES WORKSHOP:VISUAL AMMUNITION FOR THE ART ADDICT,,,
SPORTS IN AMERICA,JAMES A. MICHENER,,GENERAL NONFICTION,2/23/19,9/14/19,,100 GREAT WAYS TO USE RUBBER STAMPS,,,
HIDDEN IN THE HOME,JAMIE FARICELLIA DANGLER,,GENERAL NONFICTION,4/3/16,2/13/19,,CHESS IN AN HOUR,,,
DOGS NEVER LIE ABOUT LOVE: REFLECTIONS ON THE EMOTIONAL WORLD OF DOGS,JEFFREY MOUSSA MASSON,,GENERAL NONFICTION,2/9/19,8/24/19,,WIN AT CHESS,,,
EARLY CHILDHOOD DEVELOPMENT: A MULTICULTURAL PERSPECTIVE,JEFFREY TRAWICK-SMITH,,GENERAL NONFICTION,10/31/15,11/1/16,,WEDGWOOD DESIGNS A COLORING BOOK,,,
SHIPWRECK AT THE BOTTOM OF THE WORLD,JENNIFER ARMSTRONG,,GENERAL NONFICTION,12/7/19,1/25/20,,ADMINISTRATIVE LAW AND PROCESS,,,
INTO THIN AIR,JOHN KRAKAUER,,GENERAL NONFICTION,10/31/19,11/9/19,,SOCCER WOMEN,,,
FACING MT. KENYATTA,JOMO KENYATTA,,GENERAL NONFICTION,10/31/15,3/30/19,,BROADSWORD CALLING DANNY BOY,,,
